Purchase Doc.Num.,Cal. Year/Month,Agreement No Purchas,Automation flag,Direct/Indirect,Material PO text,Material group,Mat.gr.Hier.lvl 1,Material,Vendor,Purchasing group,Catalog Type Ind.,Purchasing doc. type,Company Code,Country of Plant,Counter PO Items,PO Value in Target Currency,PO Net Value in Target Currency,PO Quantity,,,,,,,,,,,,,,,244
P1/2414798391,8.2023,Not assigned,#,I,PLANT PART OF CONSUMABLES-ESTIMATE,24200000,01_BSP,#,7523900,TCI,F,ZAR,1554,PR of China,1,"5,398.31","5,398.31",1 EA,,,,,,,,,,,,,,,
P1/2414798470,8.2023,Not assigned,#,I,BLOCK BEARING UNIT BL HS.84149000,23050000,01_TGS,337825,11433756,TTI,#,NB,422,Thailand,1,"3,038.00","3,038.00",1 PCE,,,,,,,,,,,,,,,
P1/2414798470,8.2023,Not assigned,#,I,"IMPELLER,MAT.EN 10204-3.1 HS.84149000",36419100,01_TGS,337823,11433756,TTI,#,NB,422,Thailand,1,"17,166.00","17,166.00",1 PCE,,,,,,,,,,,,,,,
P1/2414798470,8.2023,Not assigned,#,I,"SEAL RING ,WITH GARTER SPRING,284023",23070100,01_TGS,3752754,11433756,TTI,#,NB,422,Thailand,1,635.04,635.04,6 PCE,,,,,,,,,,,,,,,
P1/2414798470,8.2023,Not assigned,#,I,SHAFT SEAL SR COMP050-5R 2.4610,36430100,01_TGS,337826,11433756,TTI,#,NB,422,Thailand,1,"5,007.80","5,007.80",1 PCE,,,,,,,,,,,,,,,
P1/2414798474,8.2023,4600018603,X,D,"AROMINA 100              0000,00 KG T01",97083360,01_IAP,444031,11348202,TCF,#,NB,1175,PR of China,1,"21,664.36","21,664.36","20,000 KG",,,,,,,,,,,,,,,
P1/2414798492,8.2023,Not assigned,#,I,?:?PET1616-2.3M*1.4M,36109201,01_TGS,#,7062729,TCI,#,YK,1554,PR of China,1,"3,860.42","3,860.42",25 PCE,,,,,,,,,,,,,,,
P1/2414798503,8.2023,Not assigned,#,I,"ELEMENT,ZSK177SC,240/240-36",36130100,01_TGS,40282075,11432674,TTI,#,NB,422,Thailand,1,"18,367.50","18,367.50",10 PCE,,,,,,,,,,,,,,,
P1/2414798503,8.2023,Not assigned,#,I,"ELEMENT,ZSK177SC,KB45/5/160 3FE-N",36130100,01_TGS,85572939,11432674,TTI,#,NB,422,Thailand,1,"3,213.46","3,213.46",2 PCE,,,,,,,,,,,,,,,
P1/2414798503,8.2023,Not assigned,#,I,"ELEMENT,ZSK177SC,KB45/5/160 N-3FE",36130100,01_TGS,85572904,11432674,TTI,#,NB,422,Thailand,1,"1,610.43","1,610.43",1 PCE,,,,,,,,,,,,,,,
P1/2414798505,8.2023,4600012050,X,D,~,20350103,01_IAP,72082,7451584,TCY,#,NB,1705,PR of China,1,386.27,386.27,"20,000 PCE",,,,,,,,,,,,,,,
P1/2414798538,8.2023,Not assigned,#,I,"REPAIR YC,GLOBE,DN50/PN40 (82900692)",27159901,01_TGS,#,5004746,TTI,#,YK,422,Thailand,1,"9,182.61","9,182.61",1 AU,,,,,,,,,,,,,,,
P1/2414798547,8.2023,4600012024,X,D,"MOLECULAR SIEVE 3A      0020,00 KG BG01",30010600,01_I&E,83216795,7648774,TCY,#,NB,1705,PR of China,1,873.31,772.84,400 KG,,,,,,,,,,,,,,,
P1/2414798626,8.2023,Not assigned,#,I,PRDC LAB ONSITE IT ENGINEER FOR 1 YEAR,25261200,01_BSP,#,7206826,TCS,F,ZAR,1848,PR of China,1,"35,691.30","35,691.30",1 AU,,,,,,,,,,,,,,,
P1/2414798630,8.2023,Not assigned,#,#,CUSTOMS COMPLIANCE & AEO REVIEW SERVICE,98200103,01_BSP,#,7750898,TCS,F,ZAR,1848,PR of China,1,"23,687.21","23,687.21",1 AU,,,,,,,,,,,,,,,
P1/2414798687,8.2023,Not assigned,#,D,"AMMONIUMPERSULFAT        0025,00 KG BG01",97134325,01_IAP,442799,11348180,TCF,#,NB,1175,PR of China,1,"1,569.28","1,388.74","1,000 KG",,,,,,,,,,,,,,,
P1/2414798750,8.2023,Not assigned,#,I,"BILATERAL SHEEP HORN HANDLE,M12",36129000,01_TGS,338545,7335580,TCI,#,NB,1554,PR of China,1,169.29,149.82,8 PCE,,,,,,,,,,,,,,,
P1/2414798750,8.2023,Not assigned,#,I,"C-CLAMP WITH BOLTS & HANDLES,M16",36129000,01_TGS,338559,7335580,TCI,#,NB,1554,PR of China,1,"5,314.96","4,703.51",18 PCE,,,,,,,,,,,,,,,
P1/2414798750,8.2023,Not assigned,#,I,"CIRCULAR COVER PLATE,HANDL",36129000,01_TGS,338544,7335580,TCI,#,NB,1554,PR of China,1,738.18,653.26,30 PCE,,,,,,,,,,,,,,,
P1/2414798750,8.2023,Not assigned,#,I,"SCREEN MESH,2500X1400MM,DLES,M16",36129000,01_TGS,338557,7335580,TCI,#,NB,1554,PR of China,1,"6,362.44","5,630.48",1 PCE,,,,,,,,,,,,,,,
P1/2414798750,8.2023,Not assigned,#,I,"SPRING,igned0500X14",36129000,01_TGS,338558,7335580,TCI,#,NB,1554,PR of China,1,"2,058.06","1,821.30",8 PCE,,,,,,,,,,,,,,,
P1/2414798750,8.2023,Not assigned,#,I,"STAR KNOB,GN 5334-60-M12-E",36129000,01_TGS,338546,7335580,TCI,#,NB,1554,PR of China,1,147.64,130.65,10 PCE,,,,,,,,,,,,,,,
P1/2414798750,8.2023,Not assigned,#,I,"WASHER FOR MOTOR,OD65/ID26X3T",36129000,01_TGS,338542,7335580,TCI,#,NB,1554,PR of China,1,472.44,418.09,8 PCE,,,,,,,,,,,,,,,
P1/2414798777,8.2023,Not assigned,#,I,AW11PA011 REPAIR,36419900,01_TGS,#,7004179,TCI,#,YK,1554,PR of China,1,"14,205.15","14,205.15",1 AU,,,,,,,,,,,,,,,
P1/2414798821,8.2023,4600012817,X,I,"SAFETY SPRAY SHIELD,100MM, 50M/ROLL",37060000,01_TGS,83932784,7428878,TCI,#,NB,1554,PR of China,1,866.24,766.59,1 ROL,,,,,,,,,,,,,,,
P1/2414798821,8.2023,4600012817,X,I,"SAFETY SPRAY SHIELD,140MM, 50M/ROLL",37060000,01_TGS,83932792,7428878,TCI,#,NB,1554,PR of China,1,"1,085.94",961.01,1 ROL,,,,,,,,,,,,,,,
P1/2414798821,8.2023,4600012817,X,I,"SAFETY SPRAY SHIELD,180MM, 50M/ROLL",37060000,01_TGS,83932806,7428878,TCI,#,NB,1554,PR of China,1,"1,280.53","1,133.21",1 ROL,,,,,,,,,,,,,,,
P1/2414798821,8.2023,4600012817,X,I,"SAFETY SPRAY SHIELD,70MM, 50M/ROLL",37060000,01_TGS,83932776,7428878,TCI,#,NB,1554,PR of China,1,671.65,594.38,1 ROL,,,,,,,,,,,,,,,
P1/2414798927,8.2023,Not assigned,#,I,CA88WA110ned7SHIELD,70MM, 50M/,36040104,01_TGS,#,7680530,TCI,F,YK,1554,PR of China,1,"4,770.60","4,770.60",1 EA,,,,,,,,,,,,,
P1/2414799624,8.2023,Not assigned,#,#,2024 TRAINEE PROGRAM_51JOB,98200807,01_BSP,#,8581904,TCS,F,ZAR,1848,PR of China,1,"24,978.88","24,978.88",1 AU,,,,,,,,,,,,,,,
P1/2414799625,8.2023,Not assigned,#,#,2024 TRAINEE PROGRAM_51JOB,98200807,01_BSP,#,8581904,TCI,F,ZAR,1554,PR of China,1,"24,978.88","24,978.88",1 AU,,,,,,,,,,,,,,,
P1/2414799670,8.2023,Not assigned,#,I,SIDE-MIXING TOOL CM1000 99015307  MIXACO,36090000,01_TGS,85729234,2180326,TCI,#,NB,1554,PR of China,1,"5,829.60","5,829.60",2 PCE,,,,,,,,,,,,,,,
P1/2414799692,8.2023,4600018633,X,D,??? 425*80*8MM,20290101,01_IAP,142568,7848930,TCY,#,NB,1705,PR of China,1,484.13,428.43,800 PCE,,,,,,,,,,,,,,,
P1/2414799692,8.2023,4600018633,X,D, ?? (5KG),20270104,01_IAP,85012399,7848930,TCY,#,NB,1705,PR of China,1,184.99,163.71,20 ROL,,,,,,,,,,,,,,,
P1/2414799694,8.2023,4600011509,X,D,ZY??? 1.0L,20070203,01_IAP,44282,8006144,TCD,#,NB,1554,PR of China,1,569.56,504.04,"1,000 PCE",,,,,,,,,,,,,,,
P1/2414799704,8.2023,Not assigned,#,I,KUt assigned4MOL CM100,36419900,01_TGS,#,7529127,TCI,#,YK,1554,PR of China,1,"9,033.25","9,033.25",1 AU,,,,,,,,,,,,,,,
P1/2414799708,8.2023,4600016946,X,D,TOLUENE,39011102,01_STC,442039,1618107,TWD,#,NB,1105,Taiwan,1,"7,810.35","7,438.43","6,880 KG",,,,,,,,,,,,,,,
P1/2414799712,8.2023,Not assigned,#,I,KUt assigned2MOL CM100,36419900,01_TGS,#,7529127,TCI,#,YK,1554,PR of China,1,"6,490.46","6,490.46",1 AU,,,,,,,,,,,,,,,
P1/2414799739,8.2023,4600018633,#,D,??? 900*80*8MM,20330301,01_IAP,99915,7848930,TCY,#,NB,1705,PR of China,1,756.09,669.11,600 PCE,,,,,,,,,,,,,,,
P1/2414799742,8.2023,4600018633,#,D,??? 500*80*8MM,20330301,01_IAP,99914,7848930,TCY,#,NB,1705,PR of China,1,503.49,445.57,800 PCE,,,,,,,,,,,,,,,
P1/2414799744,8.2023,4600018633,#,D,PE00018633744MOL CM10,20270101,01_IAP,59957299,7848930,TCY,#,NB,1705,PR of China,1,393.14,347.91,20 ROL,,,,,,,,,,,,,,,
P1/2414799750,8.2023,Not assigned,#,I,"NMRH 200/400, PB00169448-PB00169449",36419100,01_TGS,#,7764954,TTI,#,YK,422,Thailand,1,"12,362.91","12,362.91",2 EA,,,,,,,,,,,,,,,
P1/2414799855,8.2023,Not assigned,#,D,"BOMEX 033-9I4569         0180,00 KG B01",97093640,01_IAP,88227132,7438398,TCY,#,NB,1705,PR of China,1,"4,511.82","4,511.82",720 KG,,,,,,,,,,,,,,,
P1/2414800328,8.2023,4600008495,X,D,~ 149*350 GHS BLANK PP,20350103,01_IAP,87181163,7562825,TCD,#,NB,1554,PR of China,1,"2,007.70","1,776.72","30,000 PCE",,,,,,,,,,,,,,,
P1/2414800329,8.2023,4600008495,X,D,~ 149*350 SHIPPING PRODUCTION PP,20350103,01_IAP,87181236,7562825,TCD,#,NB,1554,PR of China,1,"2,101.93","1,860.12","30,000 PCE",,,,,,,,,,,,,,,
P1/2414800353,8.2023,Not assigned,#,I,SCREW SHAFT 20447277,36140000,01_TGS,#,7186655,TCS,#,YK,1848,PR of China,1,"14,053.69","12,436.90",1 AU,,,,,,,,,,,,,,,
P1/2414800367,8.2023,Not assigned,#,I,€/K?9,32019900,01_TGS,#,8280254,TCS,F,ZAR,1848,PR of China,1,"9,469.73","9,469.73",1 AU,,,,,,,,,,,,,,,
P1/2414800375,8.2023,4600011509,#,D,UN1H1 1509375044727,20070203,01_IAP,80320516,8006144,TCD,#,NB,1554,PR of China,1,170.87,151.21,300 PCE,,,,,,,,,,,,,,,
P1/2414800379,8.2023,Not assigned,#,I,LAB CONSUMABLES Q2 - ADDITIONAL,32030000,01_TGS,#,8280254,TCS,F,ZAR,1848,PR of China,1,"11,145.29","11,145.29",1 EA,,,,,,,,,,,,,,,
P1/2414800480,8.2023,Not assigned,#,D,"TEGO WET KL 245 CN       0025,00 KG B01",97114510,01_IAP,85153073,6006551,TQY,#,NB,1790,PR of China,1,747.55,661.55,25 KG,,,,,,,,,,,,,,,
P1/2414800565,8.2023,Not assigned,X,D,~ 210*149 BLANK LABEL,20350103,01_IAP,#,7562825,TCD,C,ZAR,1554,PR of China,1,315.02,315.02,"10,000 PCE",,,,,,,,,,,,,,,
P1/2414800565,8.2023,Not assigned,X,D,?& ZEBRA 154*450,20350103,01_IAP,#,7562825,TCD,C,ZAR,1554,PR of China,1,"5,001.29","5,001.29",150 ROL,,,,,,,,,,,,,,,
P1/2414800597,8.2023,Not assigned,#,I,ROLL RACK SIZE : W.1400 X D. 1000 X H. 4,37029900,01_TGS,#,7073382,TTI,#,YK,422,Thailand,1,"7,391.72","7,391.72",1 SET,,,,,,,,,,,,,,,
P1/2414800619,8.2023,Not assigned,#,I,??6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40010100,01_TGS,#,7777991,TWI,#,NB,1105,Taiwan,1,"4,916.14","4,916.14",509 UNI,,,,,,,,,,,,,,,,,,,,
P1/2414800619,8.2023,Not assigned,#,I,??6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-??,40010100,01_TGS,#,7777991,TWI,#,NB,1105,Taiwan,1,"4,278.68","4,278.68",443 UNI,,,,,,,,,,,,,,,,,,,,
P1/2414800619,8.2023,Not assigned,#,I,??w2-S?(?:100%?),40010100,01_TGS,#,7777991,TWI,#,NB,1105,Taiwan,1,"7,483.40","7,483.40",504 UNI,,,,,,,,,,,,,,,
P1/2414800619,8.2023,Not assigned,#,I,??w2-S?(?:100%?)??,40010100,01_TGS,#,7777991,TWI,#,NB,1105,Taiwan,1,"3,207.17","3,207.17",216 UNI,,,,,,,,,,,,,,,
P1/2414801331,8.2023,4600015359,X,I,SD_URC_HDI_MP FOR SHUTDOWN MANPOWER23.09,25130200,01_TGS,#,7202750,TCI,#,YM,1554,PR of China,1,"16,034.82","16,034.82",1 AU,,,,,,,,,,,,,,,
P1/2414801357,8.2023,4600018446,X,D,"MOLECULAR SIEVE 3A  CN   0020,00 KG CAN",97150920,01_IAP,87945457,7648774,TQY,#,NB,1790,PR of China,1,"2,450.79","2,168.84","1,000 KG",,,,,,,,,,,,,,,
P1/2414801374,8.2023,Not assigned,#,D,"BOMEX 033-9I4569         0180,00 KG B01",97093640,01_IAP,88227132,7438398,TCY,#,NB,1705,PR of China,1,"1,125.46","1,125.46",180 KG,,,,,,,,,,,,,,,
P1/2414801409,8.2023,4600018649,X,D,ALUMINUM BOTTLE 1000ML,20070301,01_IAP,329221,11399750,TCD,#,NB,1554,PR of China,1,567.29,567.29,600 PCE,,,,,,,,,,,,,,,
P1/2414801481,8.2023,Not assigned,#,I,I4O*?T??AG52KF031/032,36010100,01_TGS,#,7067550,TCI,#,YK,1554,PR of China,1,"15,881.43","15,881.43",1 AU,,,,,,,,,,,,,,,
P1/2414801844,8.2023,Not assigned,#,#,SPONSOR CHINA BATTERY PACK & BATTERY ST,98200503,01_BSP,#,11433745,TCS,F,ZAR,1848,PR of China,1,"4,356.97","4,356.97",1 AU,,,,,,,,,,,,,,,
P1/2414801903,8.2023,Not assigned,#,I,SAS23A086-COVESTRO-REV01CK & ,36419900,01_TGS,#,7327638,TCI,#,YK,1554,PR of China,1,"17,657.38","17,657.38",1 AU,,,,,,,,,,,,,,,
P1/2414801933,8.2023,Not assigned,#,I,B559assigned3ESTRO-REV01,22280000,01_TGS,#,7047290,TCI,#,YK,1554,PR of China,1,257.75,257.75,1 AU,,,,,,,,,,,,,,,
P1/2414801934,8.2023,Not assigned,#,I,PURCHASE OF FTIR SOFTWARE AND ACCESSORI,32019900,01_TGS,#,7832074,TCS,F,ZAR,1848,PR of China,1,"23,800.63","23,800.63",1 AU,,,,,,,,,,,,,,,
P1/2414801935,8.2023,Not assigned,#,I,MOLD TRIAL FEE,32030000,01_TGS,#,11290567,TCS,F,ZAR,1848,PR of China,1,"6,412.21","6,412.21",1 AU,,,,,,,,,,,,,,,
P1/2414801951,8.2023,Not assigned,#,I,EM_C294 gned1EIR SO,22280000,01_TGS,#,7047290,TCI,#,YK,1554,PR of China,1,314.32,314.32,1 AU,,,,,,,,,,,,,,,
P1/2414802029,8.2023,Not assigned,#,#,CONSULTANCY SERVICE FOR MACRO-ECONOMIC,98200103,01_BSP,#,11228531,TCS,F,ZAR,1848,PR of China,1,"43,649.56","43,649.56",1 AU,,,,,,,,,,,,,,,
P1/2414802084,8.2023,Not assigned,#,I,L5 FILTER SWITCH VALVE,36030104,01_TGS,329334,8555415,TCI,#,NB,1554,PR of China,1,"5,362.98","5,362.98",1 PCE,,,,,,,,,,,,,,,
P1/2414802084,8.2023,Not assigned,#,I,L5 FILTER SWITCH VALVE REPAIR SEAL KIT,36030104,01_TGS,329335,8555415,TCI,#,NB,1554,PR of China,1,200.28,200.28,1 PCE,,,,,,,,,,,,,,,
P1/2414802169,8.2023,4600016992,X,D,DIATOMITE,97111970,01_IAP,441806,11348553,TWD,#,NB,1105,Taiwan,1,"9,937.33","9,464.13","5,000 KG",,,,,,,,,,,,,,,
P1/2414802351,8.2023,Not assigned,#,I,??4???0?(,27040000,01_TGS,#,11348653,TWI,#,YK,1105,Taiwan,1,"4,301.88","4,301.88",1 AU,,,,,,,,,,,,,,,
P1/2414803009,8.2023,4600016946,X,D,ACETONE,39021201,01_STC,442489,1618107,TWD,#,NB,1105,Taiwan,1,"5,875.81","5,596.01","5,120 KG",,,,,,,,,,,,,,,
P1/2414803070,8.2023,4600008495,X,D,~,20350103,01_IAP,72082,7562825,TCD,#,NB,1554,PR of China,1,"3,189.35","2,822.43","90,000 PCE",,,,,,,,,,,,,,,
P1/2414803278,8.2023,Not assigned,#,I,"Sp:??&B2023.08 CCR	",32030000,01_TGS,#,7832074,TCI,F,ZAR,1554,PR of China,1,600.97,600.97,1 SET,,,,,,,,,,,,,,,
P1/2414803649,8.2023,4400108469,X,I,DS15VA06096,36419900,01_TGS,#,7559056,TCI,#,YK,1554,PR of China,1,"9,904.73","8,765.25",1 AU,,,,,,,,,,,,,,,
P1/2414804367,8.2023,Not assigned,#,I,FLEXIBLE JOINT AF 0400/002/A140/B/B-285,36430900,01_TGS,83842084,6065721,TCI,#,NB,1554,PR of China,1,"4,550.00","4,550.00",1 PCE,,,,,,,,,,,,,,,
P1/2414804375,8.2023,Not assigned,#,D,CALGONsigned5T AF 0400/0,30010601,01_IAP,#,11402197,TCD,#,YK,1554,PR of China,1,"6,115.39","6,115.39","1,600 SET",,,,,,,,,,,,,,,
P1/2414804626,8.2023,Not assigned,#,D,NACL,99995000,01_IAP,#,11402197,TCD,#,YK,1554,PR of China,1,"1,521.24","1,521.24",2 TON,,,,,,,,,,,,,,,
P1/2414804636,8.2023,Not assigned,#,D,???TYPE B,20350103,01_IAP,#,11247349,TCD,F,NB,1554,PR of China,1,"3,791.69","3,791.69",500 EA,,,,,,,,,,,,,,,
P1/2414804683,8.2023,Not assigned,#,D,"SODIUM PYROPHOSPHATE     0025,00 KG BG01",97152530,01_IAP,15461,11230530,TCD,#,NB,1554,PR of China,1,"1,430.04","1,265.52",600 KG,,,,,,,,,,,,,,,
P1/2414804686,8.2023,Not assigned,#,D,"HYDROGEN PEROXIDE        0000,50 KG S001",97134325,01_IAP,82615785,9531521,TCD,#,NB,1554,PR of China,1,763.38,763.38,111 KG,,,,,,,,,,,,,,,
P1/2414804750,8.2023,Not assigned,#,D,"?x	Yo               0200,00 KG",97072140,01_IAP,3383931,9531521,TCD,#,NB,1554,PR of China,1,"2,697.67","2,697.67",800 KG,,,,,,,,,,,,,,,
P1/2414804802,8.2023,Not assigned,#,I,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-??cok+?I?,40010100,01_TGS,#,11348646,TWI,#,NB,1105,Taiwan,1,"4,642.77","4,642.77",267 EA,,,,,,,,,,,,,,,,,,,,
P1/2414804808,8.2023,4600011443,X,I,CPD_B123 3808       0200,22280000,01_TGS,#,7149606,TCI,#,YK,1554,PR of China,1,257.34,257.34,1 AU,,,,,,,,,,,,,,,
P1/2414804852,8.2023,Not assigned,#,I,Z<?CARTEX-DN2/33-E1-A1 Q1Q1KMM-BQ1KMM??,23079900,01_TGS,#,7415202,TCI,#,YK,1554,PR of China,1,"4,817.26","4,817.26",1 AU,,,,,,,,,,,,,,,
P1/2414804865,8.2023,Not assigned,#,I,Q231543 COVESTRO.SH(JH)_1Q1KMM-BQ1K,36130100,01_TGS,#,7814276,TCI,#,YK,1554,PR of China,1,"34,777.62","34,777.62",1 SET,,,,,,,,,,,,,,,
P1/2414804942,8.2023,Not assigned,#,I,PCS1assig,22280000,01_TGS,#,7717933,TCS,F,ZAR,1848,PR of China,1,612.24,612.24,1 AU,,,,,,,,,,,,,,,
P1/2414804982,8.2023,4600018486,X,D,"AMMONIA HYDROXIDE 25%    0000,00 KG T01",38060102,01_I&E,440087,9531521,TCF,#,NB,1175,PR of China,1,"2,901.77","2,901.77","7,000 KG",,,,,,,,,,,,,,,
P1/2414805818,8.2023,Not assigned,#,I,ER22-PA002ed8XIDE 25%    0000,0,36419900,01_TGS,#,7522173,TCI,#,YK,1554,PR of China,1,"11,003.82","11,003.82",1 AU,,,,,,,,,,,,,,
P1/2414805902,8.2023,Not assigned,#,I,FIRE ALARM NETWORKING FOR 3 YEARS,25141200,01_TGS,#,7311127,TCS,#,YK,1848,PR of China,1,"6,445.58","6,445.58",1 AU,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,CONVEYING ELE. EAZ-90/1/2 51059522 KMB,36130100,01_TGS,87236219,7495188,TCI,#,NB,1554,PR of China,1,"1,578.49","1,396.90",2 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,"CONVEYING ELEMENT EAZ-112,5/1/2 1406216",36130100,01_TGS,87078435,7495188,TCI,#,NB,1554,PR of China,1,"7,766.98","6,873.44",8 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,"CONVEYING ELEMENT EAZ-112,5/1/2-D, KMB",36130100,01_TGS,116576,7495188,TCI,#,NB,1554,PR of China,1,"1,864.69","1,650.17",2 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,CONVEYING ELEMENT EAZ-50/1/2-D  KMB,36130100,01_TGS,87010555,7495188,TCI,#,NB,1554,PR of China,1,631.84,559.15,2 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,ELEMENT EAZ-30/1/2 NR:20251129,36130100,01_TGS,21247,7495188,TCI,#,NB,1554,PR of China,1,497.54,440.31,2 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,HEATING ROD HP45093 1575W 460V D12.5X230,36130100,01_TGS,83443163,7495188,TCI,#,NB,1554,PR of China,1,363.25,321.46,2 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,INNENMUTTER(NUT)  K02949  KMB,36130100,01_TGS,85964608,7495188,TCI,#,NB,1554,PR of China,1,74.85,66.24,2 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,KNEAD BLOCK EAZ-KB67.5/5/30L-3 51058122,36130100,01_TGS,85752775,7495188,TCI,#,NB,1554,PR of China,1,"1,514.65","1,340.40",2 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,"KNEADING BLOCK EAZ-KB112,5/5/45L-D KMB",36130100,01_TGS,87078443,7495188,TCI,#,NB,1554,PR of China,1,"4,539.54","4,017.29",4 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,KNEADING BLOCK EAZ-KB30/5/45L/23E/15-D,36130100,01_TGS,87010733,7495188,TCI,#,NB,1554,PR of China,1,401.78,355.56,1 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,KNEADING BLOCKEAZ-KB30/5/45L 51060476KMB,36130100,01_TGS,87011721,7495188,TCI,#,NB,1554,PR of China,1,609.82,539.67,2 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,KNEADINGBLOCKEAZ-KB30/5/45L/23E/45-D KMB,36130100,01_TGS,87010741,7495188,TCI,#,NB,1554,PR of China,1,401.78,355.56,1 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,SPIRAL WOUND GASKET 162*174 80010652 KMB,36130100,01_TGS,85627725,7495188,TCI,#,NB,1554,PR of China,1,449.11,397.44,1 SET,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,TOOTHED BLOCK AZ-ZB45/2/12L 52044423 KMB,36130100,01_TGS,87245900,7495188,TCI,#,NB,1554,PR of China,1,"1,717.19","1,519.64",2 PCE,,,,,,,,,,,,,,,
P1/2414805933,8.2023,Not assigned,#,I,TOOTHED BLOCK AZ-ZB45/2/12R 52044424 KMB,36130100,01_TGS,87245919,7495188,TCI,#,NB,1554,PR of China,1,"1,717.19","1,519.64",2 PCE,,,,,,,,,,,,,,,
P1/2414806019,8.2023,Not assigned,#,#,Y2023 COVSI-KPMG FS SUPPLEMENTARY AUDIT,98200401,01_BSP,#,11220232,TCS,F,ZAR,1848,PR of China,1,"78,513.09","78,513.09",1 AU,,,,,,,,,,,,,,,
P1/2414806025,8.2023,Not assigned,#,#,Y2023 COVC-KPMG FS AUDIT FEE,98200401,01_BSP,#,11220232,TCI,#,YK,1554,PR of China,1,"128,800.96","128,800.96",1 AU,,,,,,,,,,,,,,,
P1/2414806083,8.2023,Not assigned,#,I,CAS PUM gned3,36130100,01_TGS,#,7851007,TCI,#,YK,1554,PR of China,1,"8,224.09","7,277.96",1 AU,,,,,,,,,,,,,,,
P1/2414806092,8.2023,Not assigned,#,I,??z?:,36430900,01_TGS,#,11403649,TCI,#,YK,1554,PR of China,1,"8,856.71","7,837.80",1 PCE,,,,,,,,,,,,,,,
P1/2414806107,8.2023,4600011509,#,D,ZY??? 1.0L,20070203,01_IAP,44282,8006144,TCD,#,NB,1554,PR of China,1,457.51,404.88,800 PCE,,,,,,,,,,,,,,,
P1/2414806147,8.2023,4600009489,#,D,?p7?^? 1180X980,20370402,01_IAP,80277394,7528202,TCY,#,NB,1705,PR of China,1,"1,406.85","1,245.00","3,000 PCE",,,,,,,,,,,,,,,
P1/2414806199,8.2023,4600018633,#,D,?? 1880*970*360MM,20370402,01_IAP,99917,7848930,TCY,#,NB,1705,PR of China,1,"2,467.14","2,183.31",600 PCE,,,,,,,,,,,,,,,
P1/2414806368,8.2023,Not assigned,#,I,COATED FULL THREADED BOLT M16X130 A2-70,37029700,01_TGS,338362,7860798,TCI,#,NB,1554,PR of China,1,205.1,205.1,50 PCE,,,,,,,,,,,,,,,
P1/2414806368,8.2023,Not assigned,#,I,COATED FULL THREADED BOLT M16X140 A2-70,37029700,01_TGS,338368,7860798,TCI,#,NB,1554,PR of China,1,233.8,233.8,54 PCE,,,,,,,,,,,,,,,
P1/2414806368,8.2023,Not assigned,#,I,COATED FULL THREADED BOLT M16X150 A2-70,37029700,01_TGS,338369,7860798,TCI,#,NB,1554,PR of China,1,227.87,227.87,50 PCE,,,,,,,,,,,,,,,
P1/2414806368,8.2023,Not assigned,#,I,COATED FULL THREADED BOLT M16X160 A2-70,37029700,01_TGS,338370,7860798,TCI,#,NB,1554,PR of China,1,273.42,273.42,50 PCE,,,,,,,,,,,,,,,
P1/2414806368,8.2023,Not assigned,#,I,COATED FULL THREADED BOLT M16X170 A2-70,37029700,01_TGS,338441,7860798,TCI,#,NB,1554,PR of China,1,319.03,319.03,50 PCE,,,,,,,,,,,,,,,
P1/2414806368,8.2023,Not assigned,#,I,COATED FULL THREADED BOLT M20X170 A2-70,37029700,01_TGS,338442,7860798,TCI,#,NB,1554,PR of China,1,478.52,478.52,50 PCE,,,,,,,,,,,,,,,
P1/2414806368,8.2023,Not assigned,#,I,COATED FULL THREADED BOLT M27X140 A2-70,37029700,01_TGS,338443,7860798,TCI,#,NB,1554,PR of China,1,660.84,660.84,50 PCE,,,,,,,,,,,,,,,
P1/2414806368,8.2023,Not assigned,#,I,COATED FULL THREADED BOLT M27X240 A2-70,37029700,01_TGS,338445,7860798,TCI,#,NB,1554,PR of China,1,"1,093.74","1,093.74",50 PCE,,,,,,,,,,,,,,,
